      0,29: B1<-C11: target-info([day=1, hour=0, minute=0, total-minute=0, latitude=33.857143, longitude=128.358333, x=9, y=8, x-100=950, y-100=850, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=90, direction=east, cargo=crude oil, country=South Korea, info-type=new-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      7,141: B1<-C11: target-info([day=1, hour=1, minute=45, total-minute=105, latitude=34.085714, longitude=129.42, x=13, y=7, x-100=1314, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      7,142: B1<-C11: target-info([day=1, hour=1, minute=45, total-minute=105, latitude=34.243429, longitude=128.687917, x=10, y=6, x-100=1063, y-100=681, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      8,151: B1<-C11: target-info([day=1, hour=2, minute=0, total-minute=120, latitude=34.085714, longitude=129.4025, x=13, y=7, x-100=1308, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      8,152: B1<-C11: target-info([day=1, hour=2, minute=0, total-minute=120, latitude=34.302857, longitude=128.731667, x=10, y=6, x-100=1078, y-100=655, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      9,161: B1<-C11: target-info([day=1, hour=2, minute=15, total-minute=135, latitude=34.362286, longitude=128.775417, x=10, y=6, x-100=1093, y-100=629, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      9,162: B1<-C11: target-info([day=1, hour=2, minute=15, total-minute=135, latitude=34.085714, longitude=129.385, x=13, y=7, x-100=1302, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      10,171: B1<-C11: target-info([day=1, hour=2, minute=30, total-minute=150, latitude=34.085714, longitude=129.3675, x=12, y=7, x-100=1296, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Tsushima, previous-port=none])
      10,172: B1<-C11: target-info([day=1, hour=2, minute=30, total-minute=150, latitude=34.421714, longitude=128.819167, x=11, y=6, x-100=1108, y-100=603, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      11,182: B1<-C11: target-info([day=1, hour=2, minute=45, total-minute=165, latitude=34.085714, longitude=129.3675, x=12, y=7, x-100=1296, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Tsushima, previous-port=none])
      11,183: B1<-C11: target-info([day=1, hour=2, minute=45, total-minute=165, latitude=34.458286, longitude=128.845417, x=11, y=5, x-100=1117, y-100=587, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      12,190: B1<-C11: target-info([day=1, hour=3, minute=0, total-minute=180, latitude=34.494857, longitude=128.871667, x=11, y=5, x-100=1126, y-100=571, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      12,191: B1<-C11: target-info([day=1, hour=3, minute=0, total-minute=180, latitude=34.085714, longitude=129.3675, x=12, y=7, x-100=1296, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Tsushima, previous-port=none])
      13,198: B1<-C11: target-info([day=1, hour=3, minute=15, total-minute=195, latitude=34.531429, longitude=128.897917, x=11, y=5, x-100=1135, y-100=555, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      13,199: B1<-C11: target-info([day=1, hour=3, minute=15, total-minute=195, latitude=34.085714, longitude=129.3675, x=12, y=7, x-100=1296, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Tsushima, previous-port=none])
      14,206: B1<-C11: target-info([day=1, hour=3, minute=30, total-minute=210, latitude=34.085714, longitude=129.3675, x=12, y=7, x-100=1296, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Tsushima, previous-port=none])
      14,207: B1<-C11: target-info([day=1, hour=3, minute=30, total-minute=210, latitude=34.568, longitude=128.924167, x=11, y=5, x-100=1144, y-100=539, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      15,214: B1<-C11: target-info([day=1, hour=3, minute=45, total-minute=225, latitude=34.604571, longitude=128.950417, x=11, y=5, x-100=1153, y-100=523, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      15,215: B1<-C11: target-info([day=1, hour=3, minute=45, total-minute=225, latitude=34.085714, longitude=129.3675, x=12, y=7, x-100=1296, y-100=750, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=270, direction=west, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Tsushima, previous-port=none])
      16,223: B1<-C11: target-info([day=1, hour=4, minute=0, total-minute=240, latitude=34.641143, longitude=128.976667, x=11, y=5, x-100=1162, y-100=507, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      16,224: B1<-C11: target-info([day=1, hour=4, minute=0, total-minute=240, latitude=34.078857, longitude=129.355833, x=12, y=7, x-100=1292, y-100=753, id=Shinkai, entity-type=oil-tanker, value=10, speed=3.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Tsushima])
      17,234: B1<-C11: target-info([day=1, hour=4, minute=15, total-minute=255, latitude=34.677714, longitude=129.002917, x=11, y=4, x-100=1171, y-100=491, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      17,235: B1<-C11: target-info([day=1, hour=4, minute=15, total-minute=255, latitude=34.065143, longitude=129.352917, x=12, y=7, x-100=1291, y-100=759, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Tsushima])
      18,253: B1<-C11: target-info([day=1, hour=4, minute=30, total-minute=270, latitude=34.051429, longitude=129.35, x=12, y=7, x-100=1290, y-100=765, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      18,254: B1<-C11: target-info([day=1, hour=4, minute=30, total-minute=270, latitude=34.689143, longitude=129.011667, x=11, y=4, x-100=1174, y-100=486, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      19,263: B1<-C11: target-info([day=1, hour=4, minute=45, total-minute=285, latitude=34.037714, longitude=129.347083, x=12, y=7, x-100=1289, y-100=771, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      19,264: B1<-C11: target-info([day=1, hour=4, minute=45, total-minute=285, latitude=34.700571, longitude=129.020417, x=11, y=4, x-100=1177, y-100=481, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      20,273: B1<-C11: target-info([day=1, hour=5, minute=0, total-minute=300, latitude=34.712, longitude=129.029167, x=11, y=4, x-100=1180, y-100=476, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      20,274: B1<-C11: target-info([day=1, hour=5, minute=0, total-minute=300, latitude=34.024, longitude=129.344167, x=12, y=7, x-100=1288, y-100=777, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      21,283: B1<-C11: target-info([day=1, hour=5, minute=15, total-minute=315, latitude=34.010286, longitude=129.34125, x=12, y=7, x-100=1287, y-100=783, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      21,284: B1<-C11: target-info([day=1, hour=5, minute=15, total-minute=315, latitude=34.723429, longitude=129.037917, x=11, y=4, x-100=1183, y-100=471, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      22,293: B1<-C11: target-info([day=1, hour=5, minute=30, total-minute=330, latitude=33.996571, longitude=129.338333, x=12, y=7, x-100=1286, y-100=789, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      22,294: B1<-C11: target-info([day=1, hour=5, minute=30, total-minute=330, latitude=34.734857, longitude=129.046667, x=11, y=4, x-100=1186, y-100=466, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      23,303: B1<-C11: target-info([day=1, hour=5, minute=45, total-minute=345, latitude=33.982857, longitude=129.335417, x=12, y=7, x-100=1285, y-100=795, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      23,304: B1<-C11: target-info([day=1, hour=5, minute=45, total-minute=345, latitude=34.746286, longitude=129.055417, x=11, y=4, x-100=1189, y-100=461, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      24,313: B1<-C11: target-info([day=1, hour=6, minute=0, total-minute=360, latitude=33.969143, longitude=129.3325, x=12, y=8, x-100=1284, y-100=801, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      24,314: B1<-C11: target-info([day=1, hour=6, minute=0, total-minute=360, latitude=34.757714, longitude=129.064167, x=11, y=4, x-100=1192, y-100=456, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      25,323: B1<-C11: target-info([day=1, hour=6, minute=15, total-minute=375, latitude=33.928, longitude=129.320833, x=12, y=8, x-100=1280, y-100=819, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      25,324: B1<-C11: target-info([day=1, hour=6, minute=15, total-minute=375, latitude=34.769143, longitude=129.072917, x=11, y=4, x-100=1195, y-100=451, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      26,333: B1<-C11: target-info([day=1, hour=6, minute=30, total-minute=390, latitude=34.780571, longitude=129.081667, x=11, y=4, x-100=1198, y-100=446, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      26,334: B1<-C11: target-info([day=1, hour=6, minute=30, total-minute=390, latitude=33.886857, longitude=129.309167, x=12, y=8, x-100=1276, y-100=837, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      27,343: B1<-C11: target-info([day=1, hour=6, minute=45, total-minute=405, latitude=33.845714, longitude=129.2975, x=12, y=8, x-100=1272, y-100=855, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      27,344: B1<-C11: target-info([day=1, hour=6, minute=45, total-minute=405, latitude=34.792, longitude=129.090417, x=12, y=4, x-100=1201, y-100=441, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      28,353: B1<-C11: target-info([day=1, hour=7, minute=0, total-minute=420, latitude=33.804571, longitude=129.285833, x=12, y=8, x-100=1268, y-100=873, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      28,354: B1<-C11: target-info([day=1, hour=7, minute=0, total-minute=420, latitude=34.828571, longitude=129.116667, x=12, y=4, x-100=1210, y-100=425, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      29,363: B1<-C11: target-info([day=1, hour=7, minute=15, total-minute=435, latitude=34.865143, longitude=129.142917, x=12, y=4, x-100=1219, y-100=409, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      29,364: B1<-C11: target-info([day=1, hour=7, minute=15, total-minute=435, latitude=33.763429, longitude=129.274167, x=12, y=8, x-100=1264, y-100=891, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      30,373: B1<-C11: target-info([day=1, hour=7, minute=30, total-minute=450, latitude=34.901714, longitude=129.169167, x=12, y=3, x-100=1228, y-100=393, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Busan, previous-port=none])
      30,374: B1<-C11: target-info([day=1, hour=7, minute=30, total-minute=450, latitude=33.722286, longitude=129.2625, x=12, y=9, x-100=1260, y-100=909, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=193, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      31,384: B1<-C11: target-info([day=1, hour=7, minute=45, total-minute=465, latitude=33.683429, longitude=129.27125, x=12, y=9, x-100=1263, y-100=926, id=Shinkai, entity-type=oil-tanker, value=10, speed=9.0, heading=147, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Tsushima])
      31,385: B1<-C11: target-info([day=1, hour=7, minute=45, total-minute=465, latitude=34.901714, longitude=129.169167, x=12, y=3, x-100=1228, y-100=393, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Busan, previous-port=none])
      32,393: B1<-C11: target-info([day=1, hour=8, minute=0, total-minute=480, latitude=34.901714, longitude=129.169167, x=12, y=3, x-100=1228, y-100=393, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Busan, previous-port=none])
      32,394: B1<-C11: target-info([day=1, hour=8, minute=0, total-minute=480, latitude=33.649143, longitude=129.300417, x=12, y=9, x-100=1273, y-100=941, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=147, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Tsushima])
      33,412: B1<-C11: target-info([day=1, hour=8, minute=15, total-minute=495, latitude=33.614857, longitude=129.329583, x=12, y=9, x-100=1283, y-100=956, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=147, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      33,413: B1<-C11: target-info([day=1, hour=8, minute=15, total-minute=495, latitude=34.901714, longitude=129.169167, x=12, y=3, x-100=1228, y-100=393, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Busan, previous-port=none])
      34,420: B1<-C11: target-info([day=1, hour=8, minute=30, total-minute=510, latitude=33.580571, longitude=129.35875, x=12, y=9, x-100=1293, y-100=971, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=147, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      34,421: B1<-C11: target-info([day=1, hour=8, minute=30, total-minute=510, latitude=34.901714, longitude=129.169167, x=12, y=3, x-100=1228, y-100=393, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Busan, previous-port=none])
      35,428: B1<-C11: target-info([day=1, hour=8, minute=45, total-minute=525, latitude=33.546286, longitude=129.387917, x=13, y=9, x-100=1303, y-100=986, id=Shinkai, entity-type=oil-tanker, value=10, speed=18.0, heading=147, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      35,429: B1<-C11: target-info([day=1, hour=8, minute=45, total-minute=525, latitude=34.901714, longitude=129.169167, x=12, y=3, x-100=1228, y-100=393, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=30, direction=north, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Busan, previous-port=none])
      36,437: B1<-C11: target-info([day=1, hour=9, minute=0, total-minute=540, latitude=34.908571, longitude=129.18375, x=12, y=3, x-100=1233, y-100=390, id=Seabreeze, entity-type=oil-tanker, value=10, speed=3.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Busan])
      36,438: B1<-C11: target-info([day=1, hour=9, minute=0, total-minute=540, latitude=33.534857, longitude=129.399583, x=13, y=9, x-100=1307, y-100=991, id=Shinkai, entity-type=oil-tanker, value=10, speed=3.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      37,448: B1<-C11: target-info([day=1, hour=9, minute=15, total-minute=555, latitude=33.523429, longitude=129.41125, x=13, y=9, x-100=1311, y-100=996, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      37,449: B1<-C11: target-info([day=1, hour=9, minute=15, total-minute=555, latitude=34.910857, longitude=129.20125, x=12, y=3, x-100=1239, y-100=389, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Busan])
